Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,977348,-,-,-,9.93,-84.06,0,1187,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Relative Humidity,Solar Zenith Angle,Pressure
2023,1,1,0,30,0,0,0,20.5,0.4,99.98,105.41,907
2023,1,1,1,30,0,0,0,20.1,0.30000000000000004,100,119.2,907
2023,1,1,2,30,0,0,0,19.8,0.30000000000000004,100,132.95,908
2023,1,1,3,30,0,0,0,19.400000000000002,0.30000000000000004,100,146.41,908
2023,1,1,4,30,0,0,0,19.1,0.30000000000000004,100,158.84,907
2023,1,1,5,30,0,0,0,18.7,0.4,100,166.72,907
2023,1,1,6,30,0,0,0,18.400000000000002,0.4,100,162.22,906
2023,1,1,7,30,0,0,0,18.2,0.4,100,150.57,906
2023,1,1,8,30,0,0,0,18,0.4,100,137.3,906
2023,1,1,9,30,0,0,0,17.8,0.5,100,123.61,906
2023,1,1,10,30,0,0,0,17.6,0.5,100,109.81,906
2023,1,1,11,30,0,0,0,17.6,0.5,100,96.08,907
2023,1,1,12,30,85,35,381,18.400000000000002,0.5,98.41,82.44,908
2023,1,1,13,30,331,59,770,20,0.5,93.38,69.34,908
2023,1,1,14,30,284,263,38,21.700000000000003,0.5,85.76,56.89,908
2023,1,1,15,30,516,358,227,23,0.4,79.13,45.730000000000004,908
2023,1,1,16,30,660,301,450,23.900000000000002,0.4,75.44,37.08,907
2023,1,1,17,30,658,411,294,24.400000000000002,0.4,74.10000000000001,33,907
2023,1,1,18,30,665,373,357,24.400000000000002,0.4,74.60000000000001,35.12,906
2023,1,1,19,30,524,349,237,24.200000000000003,0.4,75.7,42.53,905
2023,1,1,20,30,350,295,91,23.6,0.4,79.04,53.050000000000004,905
2023,1,1,21,30,168,154,33,22.700000000000003,0.4,84.11,65.16,905
2023,1,1,22,30,150,84,321,21.700000000000003,0.30000000000000004,91.21000000000001,78.10000000000001,906
2023,1,1,23,30,0,0,0,20.8,0.4,97.63,91.61,906
2023,1,2,0,30,0,0,0,20.200000000000003,0.4,99.89,105.3,907
2023,1,2,1,30,0,0,0,19.8,0.4,100,119.09,908
2023,1,2,2,30,0,0,0,19.5,0.4,100,132.85,908
2023,1,2,3,30,0,0,0,19.200000000000003,0.4,100,146.33,908
2023,1,2,4,30,0,0,0,19.1,0.4,100,158.8,908
2023,1,2,5,30,0,0,0,18.900000000000002,0.4,100,166.78,907
2023,1,2,6,30,0,0,0,18.7,0.4,100,162.36,907
2023,1,2,7,30,0,0,0,18.5,0.4,100,150.70000000000002,906
2023,1,2,8,30,0,0,0,18.400000000000002,0.4,100,137.43,906
2023,1,2,9,30,0,0,0,18.400000000000002,0.4,100,123.72,906
2023,1,2,10,30,0,0,0,18.5,0.30000000000000004,100,109.91,907
2023,1,2,11,30,0,0,0,18.8,0.30000000000000004,100,96.17,907
2023,1,2,12,30,8,8,0,19.5,0.30000000000000004,100,82.52,908
2023,1,2,13,30,168,160,23,20.700000000000003,0.30000000000000004,99.57000000000001,69.41,909
2023,1,2,14,30,242,202,73,21.8,0.30000000000000004,95.62,56.94,909
2023,1,2,15,30,175,175,0,22.8,0.30000000000000004,88.18,45.75,908
2023,1,2,16,30,326,316,12,23.6,0.4,81.74,37.06,908
2023,1,2,17,30,310,283,32,24,0.5,78.84,32.92,907
2023,1,2,18,30,444,358,105,23.900000000000002,0.6000000000000001,79.71000000000001,35,906
2023,1,2,19,30,142,142,0,23.400000000000002,0.6000000000000001,82.7,42.39,906
2023,1,2,20,30,311,284,44,22.6,0.5,87.82000000000001,52.910000000000004,905
2023,1,2,21,30,355,103,596,21.8,0.5,93.95,65.03,906
2023,1,2,22,30,92,85,34,21,0.4,99.75,77.98,906
2023,1,2,23,30,4,4,13,20.3,0.5,100,91.49,906
2023,1,3,0,30,0,0,0,19.8,0.5,100,105.19,907
2023,1,3,1,30,0,0,0,19.400000000000002,0.5,100,118.99000000000001,907
2023,1,3,2,30,0,0,0,19,0.5,100,132.76,908
2023,1,3,3,30,0,0,0,18.7,0.5,100,146.26,908
2023,1,3,4,30,0,0,0,18.3,0.5,100,158.77,907
2023,1,3,5,30,0,0,0,18,0.5,100,166.85,907
2023,1,3,6,30,0,0,0,17.7,0.5,100,162.5,907
2023,1,3,7,30,0,0,0,17.5,0.6000000000000001,100,150.83,907
2023,1,3,8,30,0,0,0,17.3,0.6000000000000001,100,137.55,907
2023,1,3,9,30,0,0,0,17.1,0.6000000000000001,100,123.83,907
2023,1,3,10,30,0,0,0,17,0.6000000000000001,100,110.02,907
2023,1,3,11,30,0,0,0,17,0.7000000000000001,100,96.26,907
2023,1,3,12,30,90,44,359,17.6,0.7000000000000001,100,82.60000000000001,908
2023,1,3,13,30,320,74,703,18.8,0.7000000000000001,97.05,69.48,909
2023,1,3,14,30,551,81,863,20.5,0.8,89.26,56.99,909
2023,1,3,15,30,740,77,950,22.200000000000003,0.7000000000000001,77.64,45.77,908
2023,1,3,16,30,864,82,979,23.400000000000002,0.6000000000000001,70.52,37.03,908
2023,1,3,17,30,915,86,987,24.200000000000003,0.6000000000000001,67.42,32.83,907
2023,1,3,18,30,856,141,872,24.400000000000002,0.5,68.02,34.87,906
2023,1,3,19,30,788,86,949,24.400000000000002,0.4,69.45,42.25,905
2023,1,3,20,30,622,81,894,24,0.4,71.97,52.77,905
2023,1,3,21,30,407,72,790,23.200000000000003,0.4,75.95,64.89,905
2023,1,3,22,30,172,50,580,22,0.4,83.03,77.85000000000001,906
2023,1,3,23,30,5,6,38,20.900000000000002,0.4,92.08,91.37,906
2023,1,4,0,30,0,0,0,20,0.4,98.8,105.07000000000001,907
2023,1,4,1,30,0,0,0,19.5,0.4,100,118.89,908
2023,1,4,2,30,0,0,0,19.1,0.4,100,132.67000000000002,908
2023,1,4,3,30,0,0,0,18.7,0.4,100,146.19,908
2023,1,4,4,30,0,0,0,18.3,0.4,100,158.74,908
2023,1,4,5,30,0,0,0,17.900000000000002,0.4,100,166.93,907
2023,1,4,6,30,0,0,0,17.6,0.4,100,162.64000000000001,907
2023,1,4,7,30,0,0,0,17.400000000000002,0.4,100,150.97,906
2023,1,4,8,30,0,0,0,17.400000000000002,0.4,100,137.67000000000002,906
2023,1,4,9,30,0,0,0,17.6,0.4,100,123.94,906
2023,1,4,10,30,0,0,0,17.7,0.4,100,110.12,906
2023,1,4,11,30,0,0,0,18,0.4,100,96.35000000000001,907
2023,1,4,12,30,98,33,509,18.900000000000002,0.4,96.22,82.68,907
2023,1,4,13,30,333,53,800,20.400000000000002,0.5,89.95,69.54,908
2023,1,4,14,30,561,66,910,21.8,0.4,83.73,57.03,908
2023,1,4,15,30,747,80,957,23,0.4,77.43,45.78,908
2023,1,4,16,30,872,83,988,23.8,0.4,73.18,36.99,907
2023,1,4,17,30,569,397,205,24.3,0.4,71.08,32.74,906
2023,1,4,18,30,292,285,9,24.400000000000002,0.4,70.88,34.74,905
2023,1,4,19,30,274,262,16,24.200000000000003,0.4,72.33,42.1,905
2023,1,4,20,30,231,213,30,23.8,0.4,74.72,52.620000000000005,905
2023,1,4,21,30,275,128,344,23.1,0.4,78.58,64.76,905
2023,1,4,22,30,177,50,596,21.900000000000002,0.4,85.46000000000001,77.72,905
2023,1,4,23,30,3,3,20,20.8,0.4,93.42,91.25,906
2023,1,5,0,30,0,0,0,20.1,0.4,98.42,104.96000000000001,906
2023,1,5,1,30,0,0,0,19.6,0.4,100,118.78,907
2023,1,5,2,30,0,0,0,19.200000000000003,0.4,100,132.58,907
2023,1,5,3,30,0,0,0,18.8,0.4,100,146.12,907
2023,1,5,4,30,0,0,0,18.5,0.4,100,158.71,907
2023,1,5,5,30,0,0,0,18.2,0.4,100,167.01,907
2023,1,5,6,30,0,0,0,17.900000000000002,0.4,100,162.79,906
2023,1,5,7,30,0,0,0,17.5,0.4,100,151.11,906
2023,1,5,8,30,0,0,0,17.3,0.4,100,137.79,906
2023,1,5,9,30,0,0,0,17.2,0.4,100,124.05,906
2023,1,5,10,30,0,0,0,17.3,0.4,100,110.22,907
2023,1,5,11,30,0,0,0,17.7,0.4,98.93,96.44,907
2023,1,5,12,30,97,34,496,18.8,0.5,94.44,82.75,908
2023,1,5,13,30,332,57,788,20.3,0.6000000000000001,89.45,69.60000000000001,909
2023,1,5,14,30,558,71,896,21.8,0.6000000000000001,83.08,57.07,909
2023,1,5,15,30,742,83,945,22.900000000000002,0.6000000000000001,76.98,45.78,909
